,Inning,TopBottom,Score,Outs,1B,2B,3B,WE
0,9,Top,-1,0,0,0,0,0.158
1,9,Top,-1,0,1,0,0,0.133
2,9,Top,-1,0,1,1,0,0.099
3,9,Top,-1,0,1,1,1,0.059
4,9,Top,-1,0,1,0,1,0.073
5,9,Top,-1,0,0,1,0,0.112
6,9,Top,-1,0,0,1,1,0.065
7,9,Top,-1,0,0,0,1,0.087
8,9,Top,-1,1,0,0,0,0.173
9,9,Top,-1,1,1,0,0,0.156
10,9,Top,-1,1,1,1,0,0.132
11,9,Top,-1,1,1,1,1,0.094
12,9,Top,-1,1,1,0,1,0.106
13,9,Top,-1,1,0,1,0,0.14
14,9,Top,-1,1,0,1,1,0.096
15,9,Top,-1,1,0,0,1,0.113
16,9,Top,-1,2,0,0,0,0.186
17,9,Top,-1,2,1,0,0,0.177
18,9,Top,-1,2,1,1,0,0.162
19,9,Top,-1,2,1,1,1,0.144
20,9,Top,-1,2,1,0,1,0.155
21,9,Top,-1,2,0,1,0,0.166
22,9,Top,-1,2,0,1,1,0.151
23,9,Top,-1,2,0,0,1,0.16
24,9,Top,0,0,0,0,0,0.5
25,9,Top,0,0,1,0,0,0.413
26,9,Top,0,0,1,1,0,0.297
27,9,Top,0,0,1,1,1,0.16
28,9,Top,0,0,1,0,1,0.194
29,9,Top,0,0,0,1,0,0.328
30,9,Top,0,0,0,1,1,0.176
31,9,Top,0,0,0,0,1,0.232
32,9,Top,0,1,0,0,0,0.557
33,9,Top,0,1,1,0,0,0.494
34,9,Top,0,1,1,1,0,0.412
35,9,Top,0,1,1,1,1,0.278
36,9,Top,0,1,1,0,1,0.306
37,9,Top,0,1,0,1,0,0.434
38,9,Top,0,1,0,1,1,0.281
39,9,Top,0,1,0,0,1,0.321
40,9,Top,0,2,0,0,0,0.603
41,9,Top,0,2,1,0,0,0.571
42,9,Top,0,2,1,1,0,0.518
43,9,Top,0,2,1,1,1,0.458
44,9,Top,0,2,1,0,1,0.491
45,9,Top,0,2,0,1,0,0.528
46,9,Top,0,2,0,1,1,0.484
47,9,Top,0,2,0,0,1,0.504
48,9,Top,1,0,0,0,0,0.841
49,9,Top,1,0,1,0,0,0.725
50,9,Top,1,0,1,1,0,0.559
51,9,Top,1,0,1,1,1,0.356
52,9,Top,1,0,1,0,1,0.462
53,9,Top,1,0,0,1,0,0.644
54,9,Top,1,0,0,1,1,0.39
55,9,Top,1,0,0,0,1,0.559
56,9,Top,1,1,0,0,0,0.912
57,9,Top,1,1,1,0,0,0.829
58,9,Top,1,1,1,1,0,0.715
59,9,Top,1,1,1,1,1,0.537
60,9,Top,1,1,1,0,1,0.62
61,9,Top,1,1,0,1,0,0.773
62,9,Top,1,1,0,1,1,0.552
63,9,Top,1,1,0,0,1,0.677
64,9,Top,1,2,0,0,0,0.966
65,9,Top,1,2,1,0,0,0.924
