,Inning,TopBottom,1B,2B,3B,Score,Outs,P,b1,b2,b3,WE_0,avg_runs,avg_wins,WPA,Scenario
409,8,Top,1,0,0,1,0,L,R,R,R,0.664,0.9051001,0.710194,0.046194,1000RRR8L
398,9,Top,0,1,1,1,1,L,R,R,R,0.552,1.5356679,0.4782025,-0.0737975,0111RRR9L
474,8,Top,1,1,0,1,2,L,R,R,L,0.766,0.49730515,0.834097,0.068097,1102RRL8L
526,8,Top,0,1,1,1,2,L,R,L,R,0.718,0.6128543,0.7757475,0.0577475,0112RLR8L
388,9,Top,1,0,1,1,0,L,R,R,R,0.462,1.8294034,0.4290575,-0.0329425,1010RRR9L
385,9,Top,1,0,0,1,0,L,R,R,R,0.725,0.8797205,0.7182715,-0.0067285,1000RRR9L
458,8,Top,1,1,0,1,0,L,R,R,L,0.534,1.4745788,0.5495415,0.0155415,1100RRL8L
420,8,Top,1,0,1,1,1,L,R,R,R,0.586,1.15055755,0.6241175,0.0381175,1011RRR8L
459,8,Top,1,1,1,1,0,L,R,R,L,0.371,2.44086715,0.296037,-0.074963,1110RRL8L
475,8,Top,1,1,1,1,2,L,R,R,L,0.691,0.77389765,0.751147,0.060147,1112RRL8L
470,8,Top,0,1,1,1,1,L,R,R,L,0.534,1.4500371,0.496358,-0.037642,0111RRL8L
347,9,Top,1,1,1,1,1,R,L,L,R,0.537,1.57060875,0.52115,-0.01585,1111LLR9R
397,9,Top,0,1,0,1,1,L,R,R,R,0.773,0.70177355,0.759582,-0.013418,0101RRR9L
390,9,Top,0,1,1,1,0,L,R,R,R,0.39,2.2121338,0.278208,-0.111792,0110RRR9L
362,8,Top,1,1,0,1,0,R,L,L,R,0.534,1.46682445,0.5528965,0.0188965,1100LLR8R
539,9,Top,1,1,1,1,1,L,R,L,L,0.537,1.5056457,0.533002,-0.003998,1111RLL9L
444,9,Top,1,0,1,1,1,L,R,R,L,0.62,1.14153205,0.6257075,0.0057075,1011RRL9L
468,8,Top,1,0,1,1,1,L,R,R,L,0.586,1.1391724,0.6269595,0.0409595,1011RRL8L
391,9,Top,0,0,1,1,0,L,R,R,R,0.559,1.4505928,0.5149705,-0.0440295,0010RRR9L
467,8,Top,1,1,1,1,1,L,R,R,L,0.516,1.5358113,0.537166,0.021166,1111RRL8L
602,8,Top,1,1,0,1,0,L,L,R,R,0.534,1.4448976,0.561117,0.027117,1100LRR8L
500,9,Top,1,0,1,1,2,L,R,L,R,0.833,0.4507827,0.848409,0.015409,1012RLR9L
466,8,Top,1,1,0,1,1,L,R,R,L,0.655,0.86224175,0.722967,0.067967,1101RRL8L
446,9,Top,0,1,1,1,1,L,R,R,L,0.552,1.46763125,0.4974315,-0.0545685,0111RRL9L
411,8,Top,1,1,1,1,0,L,R,R,R,0.371,2.4627573,0.290454,-0.080546,1110RRR8L
412,8,Top,1,0,1,1,0,L,R,R,R,0.462,1.75714295,0.4493285,-0.0126715,1010RRR8L
507,8,Top,1,1,1,1,0,L,R,L,R,0.371,2.44141935,0.298173,-0.072827,1110RLR8L
422,8,Top,0,1,1,1,1,L,R,R,R,0.534,1.4807485,0.4947305,-0.0392695,0111RRR8L
299,9,Top,1,1,1,1,1,R,L,L,L,0.537,1.5334349,0.534899,-0.002101,1111LLL9R
469,8,Top,0,1,0,1,1,L,R,R,L,0.702,0.6717959,0.770567,0.068567,0101RRL8L
298,9,Top,1,1,0,1,1,R,L,L,L,0.715,0.8302955,0.7348495,0.0198495,1101LLL9R
389,9,Top,0,1,0,1,0,L,R,R,R,0.644,1.24365435,0.591518,-0.052482,0100RRR9L
437,9,Top,0,1,0,1,0,L,R,R,L,0.644,1.23304105,0.593004,-0.050996,0100RRL9L
410,8,Top,1,1,0,1,0,L,R,R,R,0.534,1.45642695,0.5597065,0.0257065,1100RRR8L
443,9,Top,1,1,1,1,1,L,R,R,L,0.537,1.51004855,0.539694,0.002694,1111RRL9L
515,8,Top,1,1,1,1,1,L,R,L,R,0.516,1.5418946,0.533209,0.017209,1111RLR8L
371,8,Top,1,1,1,1,1,R,L,L,R,0.516,1.53259665,0.5315205,0.0155205,1111LLR8R
483,9,Top,1,1,1,1,0,L,R,L,R,0.356,2.40012875,0.3032305,-0.0527695,1110RLR9L
406,9,Top,0,1,1,1,2,L,R,R,R,0.793,0.5857448,0.787801,-0.005199,0112RRR9L
413,8,Top,0,1,0,1,0,L,R,R,R,0.605,1.2183418,0.5984635,-0.0065365,0100RRR8L
393,9,Top,1,0,0,1,1,L,R,R,R,0.829,0.51714935,0.82777,-0.00123,1001RRR9L
436,9,Top,1,0,1,1,0,L,R,R,L,0.462,1.78119475,0.4434905,-0.0185095,1010RRL9L
403,9,Top,1,1,1,1,2,L,R,R,R,0.762,0.76796365,0.752339,-0.009661,1112RRR9L
428,8,Top,1,0,1,1,2,L,R,R,R,0.746,0.45821285,0.846856,0.100856,1012RRR8L
324,8,Top,1,0,1,1,1,R,L,L,L,0.586,1.11400265,0.6345415,0.0485415,1011LLL8R
323,8,Top,1,1,1,1,1,R,L,L,L,0.516,1.567065,0.527743,0.011743,1111LLL8R
451,9,Top,1,1,1,1,2,L,R,R,L,0.762,0.76248245,0.756285,-0.005715,1112RRL9L
563,8,Top,1,1,1,1,1,L,R,L,L,0.516,1.53114475,0.5302,0.0142,1111RLL8L
418,8,Top,1,1,0,1,1,L,R,R,R,0.655,0.8995782,0.7130455,0.0580455,1101RRR8L
275,8,Top,1,1,1,1,1,R,L,R,L,0.516,1.5029301,0.5402215,0.0242215,1111LRL8R
417,8,Top,1,0,0,1,1,L,R,R,R,0.744,0.4818569,0.836248,0.092248,1001RRR8L
493,9,Top,0,1,0,1,1,L,R,L,R,0.773,0.67439265,0.7699085,-0.0030915,0101RLR9L
384,9,Top,0,0,0,1,0,L,R,R,R,0.841,0.52137795,0.834246,-0.006754,0000RRR9L
478,8,Top,0,1,1,1,2,L,R,R,L,0.718,0.5910328,0.7858625,0.0678625,0112RRL8L
399,9,Top,0,0,1,1,1,L,R,R,R,0.677,1.0347633,0.637506,-0.039494,0011RRR9L
387,9,Top,1,1,1,1,0,L,R,R,R,0.356,2.42881025,0.3010815,-0.0549185,1110RRR9L
415,8,Top,0,0,1,1,0,L,R,R,R,0.542,1.4392926,0.518108,-0.023892,0010RRR8L
454,9,Top,0,1,1,1,2,L,R,R,L,0.793,0.6118794,0.780209,-0.012791,0112RRL9L
485,9,Top,0,1,0,1,0,L,R,L,R,0.644,1.20320805,0.60017,-0.04383,0100RLR9L
426,8,Top,1,1,0,1,2,L,R,R,R,0.766,0.43273805,0.853534,0.087534,1102RRR8L
499,9,Top,1,1,1,1,2,L,R,L,R,0.762,0.7430527,0.759139,-0.002861,1112RLR9L
547,9,Top,1,1,1,1,2,L,R,L,L,0.762,0.710693,0.766135,0.004135,1112RLL9L
386,9,Top,1,1,0,1,0,L,R,R,R,0.559,1.4533778,0.5602765,0.0012765,1100RRR9L
513,8,Top,1,0,0,1,1,L,R,L,R,0.744,0.4939872,0.8341145,0.0901145,1001RLR8L
434,9,Top,1,1,0,1,0,L,R,R,L,0.559,1.47575475,0.5516865,-0.0073135,1100RRL9L
268,8,Top,1,0,1,1,0,R,L,R,L,0.462,1.73515335,0.451544,-0.010456,1010LRL8R
463,8,Top,0,0,1,1,0,L,R,R,L,0.542,1.42667475,0.5202575,-0.0217425,0010RRL8L
522,8,Top,1,1,0,1,2,L,R,L,R,0.766,0.4620204,0.8440595,0.0780595,1102RLR8L
573,8,Top,0,1,0,1,2,L,R,L,L,0.788,0.33592295,0.871234,0.083234,0102RLL8L
505,8,Top,1,0,0,1,0,L,R,L,R,0.664,0.853427,0.7286725,0.0646725,1000RLR8L
303,9,Top,0,0,1,1,1,R,L,L,L,0.677,1.02486305,0.6402705,-0.0367295,0011LLL9R
654,8,Top,0,1,1,1,0,L,L,R,L,0.409,2.1624015,0.292584,-0.116416,0110LRL8L
494,9,Top,0,1,1,1,1,L,R,L,R,0.552,1.451164,0.5007665,-0.0512335,0111RLR9L
447,9,Top,0,0,1,1,1,L,R,R,L,0.677,1.06825275,0.6255825,-0.0514175,0011RRL9L
395,9,Top,1,1,1,1,1,L,R,R,R,0.537,1.549538,0.537409,0.000409,1111RRR9L
427,8,Top,1,1,1,1,2,L,R,R,R,0.691,0.75053245,0.7575795,0.0665795,1112RRR8L
414,8,Top,0,1,1,1,0,L,R,R,R,0.409,2.17671315,0.280259,-0.128741,0110RRR8L
331,8,Top,1,1,1,1,2,R,L,L,L,0.691,0.73975355,0.7608235,0.0698235,1112LLL8R
421,8,Top,0,1,0,1,1,L,R,R,R,0.702,0.68356385,0.7667115,0.0647115,0101RRR8L
431,8,Top,0,0,1,1,2,L,R,R,R,0.773,0.33141605,0.88,0.107,0012RRR8L
392,9,Top,0,0,0,1,1,L,R,R,R,0.912,0.28312245,0.904487,-0.007513,0001RRR9L
419,8,Top,1,1,1,1,1,L,R,R,R,0.516,1.5327303,0.542862,0.026862,1111RRR8L
363,8,Top,1,1,1,1,0,R,L,L,R,0.371,2.3598398,0.3094905,-0.0615095,1110LLR8R
662,8,Top,0,1,1,1,1,L,L,R,L,0.534,1.42321525,0.5079295,-0.0260705,0111LRL8L
502,9,Top,0,1,1,1,2,L,R,L,R,0.793,0.5742027,0.793975,0.000975,0112RLR9L
442,9,Top,1,1,0,1,1,L,R,R,L,0.715,0.8608168,0.7259225,0.0109225,1101RRL9L
